iter	MultiClass
0	2.075545482
1	2.060569259
2	2.044920466
3	2.032777917
4	2.018742109
5	2.004791029
6	1.993119934
7	1.980501656
8	1.965382327
9	1.95622982
10	1.945005707
11	1.931541068
12	1.916746507
13	1.902795955
14	1.888875862
15	1.882101849
16	1.870301768
17	1.857318304
18	1.845708302
19	1.834763592
20	1.824136605
21	1.809317282
22	1.800104976
23	1.787530714
24	1.773711605
25	1.76477728
26	1.753849409
27	1.750542034
28	1.744019314
29	1.733227485
30	1.726366062
31	1.717530056
32	1.706549838
33	1.692589569
34	1.679281334
35	1.668346815
36	1.660514679
37	1.649933252
38	1.637946454
39	1.632085094
40	1.621618722
41	1.611817056
42	1.600431962
43	1.588300587
44	1.575234396
45	1.565292101
46	1.554469308
47	1.543472339
48	1.534894789
49	1.526923496
50	1.516459185
51	1.503775249
52	1.491936589
53	1.481730521
54	1.470133659
55	1.460882536
56	1.449388957
57	1.437978026
58	1.427396444
59	1.416417088
60	1.406429488
61	1.399691188
62	1.388680856
63	1.37700805
64	1.365446649
65	1.355418455
66	1.344047476
67	1.334021146
68	1.324650166
69	1.313511381
70	1.302482243
71	1.292667683
72	1.281845831
73	1.271099656
74	1.260477288
75	1.250649566
76	1.242232402
77	1.232758545
78	1.22319437
79	1.213031831
80	1.202972004
81	1.197002391
82	1.187784297
83	1.177876073
84	1.170880554
85	1.162058392
86	1.154456643
87	1.145748478
88	1.137768955
89	1.128491987
90	1.120631752
91	1.113152965
92	1.104013521
93	1.095059699
94	1.085935642
95	1.076908464
96	1.067977374
97	1.059264721
98	1.050538825
99	1.041942127
100	1.033567009
101	1.025094901
102	1.016724948
103	1.008445743
104	1.000257636
105	0.9922803394
106	0.9842052568
107	0.9762884844
108	0.9684572882
109	0.9611225311
110	0.9533572547
111	0.945664897
112	0.9382105832
113	0.9313408096
114	0.9240427915
115	0.9166436615
116	0.9093915852
117	0.902218825
118	0.8949946691
119	0.8879096505
120	0.8820892512
121	0.8751177822
