iter	Passed	Remaining
0	55	55775
1	56	28376
2	58	19373
3	59	14727
4	60	12008
5	61	10144
6	61	8767
7	63	7834
8	64	7107
9	65	6455
10	66	5942
11	67	5526
12	68	5189
13	69	4879
14	71	4670
15	71	4427
16	72	4211
17	74	4039
18	74	3867
19	75	3707
20	76	3555
21	77	3457
22	79	3379
23	80	3280
24	82	3201
25	82	3100
26	83	3012
27	84	2919
28	84	2832
29	85	2761
30	86	2699
31	87	2648
32	88	2591
33	90	2565
34	91	2526
35	92	2474
36	93	2420
37	93	2377
38	95	2362
39	96	2322
40	98	2295
41	98	2257
42	99	2225
43	101	2199
44	104	2224
45	105	2191
46	107	2181
47	108	2154
48	109	2120
49	109	2088
50	110	2062
51	112	2058
52	114	2043
53	115	2021
54	116	2006
55	117	1981
56	118	1966
57	120	1963
58	122	1951
59	124	1944
60	125	1926
61	125	1903
62	127	1891
63	128	1883
64	130	1881
65	132	1874
66	133	1865
67	135	1853
68	136	1837
69	138	1838
70	140	1841
71	142	1840
72	144	1833
73	145	1825
74	147	1816
75	149	1817
76	151	1817
77	153	1808
78	154	1798
79	155	1790
80	157	1786
81	158	1775
82	160	1772
83	162	1773
84	163	1758
85	164	1750
86	166	1743
87	167	1736
88	168	1726
89	171	1729
90	172	1718
91	173	1707
92	176	1717
93	177	1713
94	180	1717
95	182	1715
96	183	1710
97	186	1714
98	188	1711
99	190	1717
100	192	1711
101	193	1706
102	196	1710
103	197	1705
104	199	1701
105	201	1696
106	202	1692
107	205	1693
108	206	1689
109	208	1686
110	210	1682
111	211	1677
112	213	1676
113	215	1671
114	216	1667
115	218	1663
116	219	1659
117	221	1655
118	223	1654
119	225	1650
120	226	1646
121	228	1643
122	229	1639
123	231	1635
124	234	1639
125	236	1637
126	237	1633
127	239	1629
128	240	1625
129	242	1625
130	245	1630
131	247	1627
132	249	1624
133	250	1620
134	252	1616
135	255	1620
136	256	1618
137	259	1621
138	261	1617
139	263	1617
140	265	1619
141	268	1619
142	269	1617
143	271	1616
144	276	1628
145	277	1625
146	280	1626
147	282	1623
148	285	1627
149	286	1624
150	289	1625
151	291	1623
152	302	1674
153	304	1670
154	305	1667
155	308	1671
156	310	1668
157	312	1667
158	314	1666
159	316	1662
160	319	1665
161	322	1665
162	323	1662
163	325	1659
